Angle: 232.19443905478866, Shoulder: (0.6854707598686218, 0.3713490664958954), Elbow: (0.8688573241233826, 0.5132646560668945), Wrist: (0.8691844940185547, 0.7784271836280823)
Angle: 244.28970621586484, Shoulder: (0.6909084916114807, 0.37231817841529846), Elbow: (0.8908560872077942, 0.48750585317611694), Wrist: (0.8693133592605591, 0.7783949375152588)
Angle: 249.43593795350313, Shoulder: (0.6934906840324402, 0.372511625289917), Elbow: (0.8963663578033447, 0.4696003496646881), Wrist: (0.8693189024925232, 0.7781355381011963)
Angle: 252.07872762721004, Shoulder: (0.6954271197319031, 0.37249213457107544), Elbow: (0.899072527885437, 0.46022161841392517), Wrist: (0.8692035675048828, 0.777094841003418)
Angle: 251.52420084383783, Shoulder: (0.694332480430603, 0.37160971760749817), Elbow: (0.8999933004379272, 0.4637725353240967), Wrist: (0.8690871596336365, 0.7754601240158081)
Angle: 252.35972456958493, Shoulder: (0.6947693824768066, 0.37096214294433594), Elbow: (0.9021747708320618, 0.46189388632774353), Wrist: (0.8690322637557983, 0.775455892086029)
Angle: 252.76443387299912, Shoulder: (0.7001246213912964, 0.36276182532310486), Elbow: (0.9094191193580627, 0.45827487111091614), Wrist: (0.8690300583839417, 0.7738072872161865)
Angle: 252.60954774084846, Shoulder: (0.7011220455169678, 0.3609005808830261), Elbow: (0.9110572934150696, 0.4588281810283661), Wrist: (0.8690016865730286, 0.773309051990509)
Angle: 250.59917341186514, Shoulder: (0.7010115385055542, 0.3530842661857605), Elbow: (0.9105223417282104, 0.45907846093177795), Wrist: (0.8695076107978821, 0.7733879685401917)
Angle: 248.98278426813542, Shoulder: (0.7008067965507507, 0.34873852133750916), Elbow: (0.9092267155647278, 0.459412157535553), Wrist: (0.870948076248169, 0.7733563184738159)
Angle: 247.3371709831522, Shoulder: (0.7008397579193115, 0.34536826610565186), Elbow: (0.9073339700698853, 0.46034562587738037), Wrist: (0.8720334768295288, 0.7727662920951843)
Angle: 245.74599885012424, Shoulder: (0.7017697691917419, 0.33944761753082275), Elbow: (0.9066160321235657, 0.4600580930709839), Wrist: (0.872505784034729, 0.7722742557525635)
Angle: 245.27368833362348, Shoulder: (0.7023665904998779, 0.3379383385181427), Elbow: (0.9066771268844604, 0.4606335461139679), Wrist: (0.8724900484085083, 0.7722963094711304)
Angle: 244.33467874689168, Shoulder: (0.7031832337379456, 0.33485791087150574), Elbow: (0.9063372611999512, 0.4611855447292328), Wrist: (0.8724514842033386, 0.7726364731788635)
Angle: 243.9723011706049, Shoulder: (0.7029120326042175, 0.3335098624229431), Elbow: (0.9054328203201294, 0.4603957235813141), Wrist: (0.872435450553894, 0.7722095251083374)
Angle: 243.25759679703086, Shoulder: (0.7062100768089294, 0.3338606357574463), Elbow: (0.9045682549476624, 0.46058833599090576), Wrist: (0.8728023767471313, 0.7716209292411804)
Angle: 243.84632929667615, Shoulder: (0.7068868279457092, 0.33415594696998596), Elbow: (0.9041387438774109, 0.4566308259963989), Wrist: (0.8727959394454956, 0.7716064453125)
Angle: 245.24977915517195, Shoulder: (0.707410454750061, 0.3335576355457306), Elbow: (0.9052079916000366, 0.4507991671562195), Wrist: (0.8725147247314453, 0.7668154239654541)
Angle: 246.47655430552786, Shoulder: (0.7089871764183044, 0.33313000202178955), Elbow: (0.9086413979530334, 0.4491560757160187), Wrist: (0.871763288974762, 0.7659986615180969)
Angle: 246.52793721416984, Shoulder: (0.7108709216117859, 0.3321308493614197), Elbow: (0.9097280502319336, 0.44829869270324707), Wrist: (0.8717583417892456, 0.7657586932182312)
